PLEXOS technology,Mapping to new WEO technology,Mapping to DEA data,Mapping to WEO Capex,Mapping to APPFC techs,OpClassMSL,Mapping to NREL cost data,Fuel,PerformanceVar,PropertyClass,FUELsub,FUELsimp,VRE,InertiaLOW,InertiaHI,Category1,Category2,ValidationTech,FUELgas,Fuel4,Fuel5,VRE2,VRE3,PLN_Tech,CategoryWEO,FlexCategory,Reserves,QuickStart,Type,RegSplitCat,New,RegSplitCat
Biogases,Biogases,Biogas power plant (small),Excluded,Biogas,Biogas,Biomass,Biomass,1,Biomass,Biomass,Biomass,Non-VRE,2,4,Bioenergy,Bioenergy,Bioenergy,Biomass,RES,Other,Non-VRE,Non-VRE,PLTBG,Bioenergy,Constrained,Yes,No,Generator,RES,Y,RES
Biomass CHP Medium,Biomass_CHP_Medium,Solid biomass,Excluded,Solid biomass,Solid biomass,Biomass,Biomass,1,Biomass,Biomass,Biomass,Non-VRE,2,4,Bioenergy,Bioenergy,CHP,Biomass,RES,Other,Non-VRE,Non-VRE,PLTBM,Bioenergy,Constrained,No,No,Generator,RES,Y,RES
Biomass CHP Small,Biomass_CHP_Small,Solid biomass,Excluded,Solid biomass,Solid biomass,Biomass,Biomass,1,Biomass,Biomass,Biomass,Non-VRE,2,4,Bioenergy,Bioenergy,CHP,Biomass,RES,Other,Non-VRE,Non-VRE,PLTBM,Bioenergy,Constrained,No,No,Generator,RES,Y,RES
Biomass Cofiring,Biomass_Power_Plant,Coal Subcritical,Excluded,Coal subcritical,Coal subcritical,Biomass,Biomass,1,Biomass,Biomass,Biomass,Non-VRE,2,4,Bioenergy,Bioenergy,Bioenergy,Biomass,RES,Other,Non-VRE,Non-VRE,PLTBM,Bioenergy,Dispatchable,Yes,No,Generator,RES,Y,RES
Biomass IGCC with CCS,Biomass_IGCC_with_CCS,IGCC,Excluded,Biogas,Biogas,Biomass,Biomass,1,Biomass,Biomass,Biomass,Non-VRE,2,4,Bioenergy,Bioenergy,Bioenergy,Biomass,RES,Other,Non-VRE,Non-VRE,PLTBM,Bioenergy,Constrained,Yes,No,Generator,RES,Y,RES
Biomass Power Plant,Biomass_Power_Plant,Biomass power plant (small),Excluded,Solid biomass,Solid biomass,Biomass,Biomass,1,Biomass,Biomass,Biomass,Non-VRE,2,4,Bioenergy,Bioenergy,Bioenergy,Biomass,RES,Other,Non-VRE,Non-VRE,PLTBM,Bioenergy,Constrained,Yes,No,Generator,RES,N,RES
CCS CCGT 1,Gas_CCGT_CCS,CCS - CCGT,Excluded,CCGT,CCGT,CCGT,Gas,1,Gas-CCGT,Gas-CCGT,Gas,Non-VRE,4,6,Gas,Abated gas,Thermal,CCGT,Thermal,Gas,Non-VRE,Non-VRE,PLTGU,Gas_CCGT,Dispatchable,Yes,No,Generator,Gas,N,Gas
CCS IGCC 1,Coal_IGCC_CCS,CCS - IGCC,Excluded,IGCC,IGCC,IGCC CCS,Bituminous coal,1,Bituminous coal,Bituminous coal,Bituminous coal,Non-VRE,2,4,Coal,Abated coal,Thermal,Coal,Thermal,Coal,Non-VRE,Non-VRE,PLTU,Coal_IGCC,Dispatchable,Yes,No,Generator,Coal,N,Coal
CCS Oxyfuel 1,Coal_Oxyfuel_CCS,CCS - Supercritical coal,Excluded,Coal supercritical,Coal supercritical,Coal CCS,Bituminous coal,1,Bituminous coal,Bituminous coal,Bituminous coal,Non-VRE,2,4,Coal,Abated coal,Thermal,Coal,Thermal,Coal,Non-VRE,Non-VRE,PLTUs,Coal_Supercritical,Dispatchable,Yes,No,Generator,Coal,N,Coal
CHP BiomassandWaste,Biomass_CHP_Small,Solid biomass,Excluded,Solid biomass,Solid biomass,Biomass,Biomass,1,Biomass,Biomass,Biomass,Non-VRE,2,4,Bioenergy,Bioenergy,CHP,Biomass,RES,Other,Non-VRE,Non-VRE,PLTBM,Bioenergy,Constrained,No,No,Generator,RES,N,RES
CHP Coal,Coal_CHP,Coal subcritical,Excluded,Coal subcritical,Coal subcritical,Coal,Bituminous coal,1,Bituminous coal,Bituminous coal,Bituminous coal,Non-VRE,2,4,Coal,Coal,CHP,Coal,Thermal,Coal,Non-VRE,Non-VRE,PLTU,Coal_IGCC,Dispatchable,No,No,Generator,Coal,N,Coal
CHP Gas,Gas_CHP,OCGT,Excluded,OCGT,OCGT,OCGT,Gas,1,Gas-OCGT,Gas-OCGT,Gas,Non-VRE,4,6,Gas,Gas,CHP,OCGT,Thermal,Gas,Non-VRE,Non-VRE,PLTG/MG,Gas_GT,Dispatchable,No,Yes,Generator,Gas,N,Gas
CHP Geothermal,Geothermal_CHP,Geothermal,Excluded,Geothermal,Geothermal,Geothermal,Geothermal,1,Geothermal,Geothermal,Geothermal,Non-VRE,0,0,Geothermal,Geothermal,CHP,Geothermal,RES,Other,Non-VRE,Non-VRE,PLTP,Geothermal,Constrained,No,No,Generator,RES,N,RES
CHP Nuclear,Nuclear_CHP,Nuclear,Excluded,Nuclear,Nuclear,Nuclear,Uranium,1,Uranium,Uranium,Uranium,Non-VRE,2,4,Nuclear,Nuclear,CHP,Nuclear,Nuclear,Nuclear,Non-VRE,Non-VRE,Nuclear,Nuclear,Dispatchable,No,No,Generator,Nuclear,N,Nuclear
CHP Oil,Oil_CHP,Steam turbine (Gas/Oil),Excluded,Steam turbine (Gas/Oil),Steam turbine (Gas/Oil),OCGT,Oil,1,Oil,Oil,Oil,Non-VRE,2,4,Oil,Oil,CHP,Oil,Thermal,Oil,Non-VRE,Non-VRE,PLTD,Oil,Dispatchable,No,Yes,Generator,Gas,N,Gas
CHP OtherSources,Gas_CHP,Steam turbine (Gas/Oil),Excluded,Steam turbine (Gas/Oil),Steam turbine (Gas/Oil),,#N/A,1,Other,Other,Other,Non-VRE,2,4,Other,Other,CHP,Other,RES,Other,Non-VRE,Non-VRE,PLTBM,Bioenergy,Constrained,No,No,Generator,RES,N,RES
CHP Solar,Solar_CSP_CHP,CHP Other,Excluded,CHP Other,CHP Other,Solar CSP,Solar,1,Solar,Solar,Solar,Non-VRE,0,0,Solar,Solar,CHP,Solar,CHP,Other,Non-VRE,Non-VRE,CSP,ConcentratedSolarPower,Constrained,No,No,Generator,Solar,Y,Solar
Coal CHP MaxMin,Coal_CHP,CHP Coal,Excluded,CHP Coal,CHP Coal,Coal,Bituminous coal,1,Bituminous coal,Bituminous coal,Bituminous coal,Non-VRE,2,4,Coal,Coal,CHP,Coal,Thermal,Coal,Non-VRE,Non-VRE,PLTU,Coal_IGCC,Dispatchable,No,No,Generator,Coal,N,Coal
Coal IGCC 1,Coal_IGCC,IGCC,Excluded,IGCC,IGCC,IGCC,Bituminous coal,1,Bituminous coal,Bituminous coal,Bituminous coal,Non-VRE,2,4,Coal,Coal,Thermal,Coal,Thermal,Coal,Non-VRE,Non-VRE,PLTU,Coal_IGCC,Dispatchable,Yes,No,Generator,Coal,N,Coal
Coal IGCC 2,Coal_IGCC,IGCC,Excluded,IGCC,IGCC,IGCC,Bituminous coal,1,Bituminous coal,Bituminous coal,Bituminous coal,Non-VRE,2,4,Coal,Coal,Thermal,Coal,Thermal,Coal,Non-VRE,Non-VRE,PLTU,Coal_IGCC,Dispatchable,Yes,No,Generator,Coal,N,Coal
Coal IGCC 3,Coal_IGCC,IGCC,Excluded,IGCC,IGCC,IGCC,Bituminous coal,1,Bituminous coal,Bituminous coal,Bituminous coal,Non-VRE,2,4,Coal,Coal,Thermal,Coal,Thermal,Coal,Non-VRE,Non-VRE,PLTU,Coal_IGCC,Dispatchable,Yes,No,Generator,Coal,N,Coal
Coal IGCC 4,Coal_IGCC,IGCC,Excluded,IGCC,IGCC,IGCC,Bituminous coal,1,Bituminous coal,Bituminous coal,Bituminous coal,Non-VRE,2,4,Coal,Coal,Thermal,Coal,Thermal,Coal,Non-VRE,Non-VRE,PLTU,Coal_IGCC,Dispatchable,Yes,No,Generator,Coal,N,Coal
Coal IGCC 5,Coal_IGCC,IGCC,Excluded,IGCC,IGCC,IGCC,Bituminous coal,1,Bituminous coal,Bituminous coal,Bituminous coal,Non-VRE,2,4,Coal,Coal,Thermal,Coal,Thermal,Coal,Non-VRE,Non-VRE,PLTU,Coal_IGCC,Dispatchable,Yes,No,Generator,Coal,N,Coal
Coal Subcritical 1,Coal_Subcritical_Lignite,Coal Subcritical,Excluded,Coal lignite,Coal lignite,Lignite,Lignite,1,Lignite,Lignite,Lignite,Non-VRE,2,4,Coal,Coal,Thermal,Coal,Thermal,Coal,Non-VRE,Non-VRE,PLTU,Coal_Subcritical,Dispatchable,Yes,No,Generator,Coal,N,Coal
Coal Subcritical 2,Coal_Subcritical_Lignite,Coal Subcritical,Excluded,Coal lignite,Coal lignite,Lignite,Lignite,1,Lignite,Lignite,Lignite,Non-VRE,2,4,Coal,Coal,Thermal,Coal,Thermal,Coal,Non-VRE,Non-VRE,PLTU,Coal_Subcritical,Dispatchable,Yes,No,Generator,Coal,N,Coal
Coal Subcritical 3,Coal_Subcritical_Hard,Coal Subcritical,Excluded,Coal subcritical,Coal subcritical,Coal,Bituminous coal,1,Bituminous coal,Bituminous coal,Bituminous coal,Non-VRE,2,4,Coal,Coal,Thermal,Coal,Thermal,Coal,Non-VRE,Non-VRE,PLTU,Coal_Subcritical,Dispatchable,Yes,No,Generator,Coal,N,Coal
Coal Subcritical 4,Coal_Subcritical_Hard,Coal Subcritical,Excluded,Coal subcritical,Coal subcritical,Coal,Bituminous coal,1,Bituminous coal,Bituminous coal,Bituminous coal,Non-VRE,2,4,Coal,Coal,Thermal,Coal,Thermal,Coal,Non-VRE,Non-VRE,PLTU,Coal_Subcritical,Dispatchable,Yes,No,Generator,Coal,N,Coal
Coal Subcritical 5,Coal_Subcritical_Hard,Coal Subcritical,Excluded,Coal subcritical,Coal subcritical,Coal,Bituminous coal,1,Bituminous coal,Bituminous coal,Bituminous coal,Non-VRE,2,4,Coal,Coal,Thermal,Coal,Thermal,Coal,Non-VRE,Non-VRE,PLTU,Coal_Subcritical,Dispatchable,Yes,No,Generator,Coal,N,Coal
Coal Supercritical 1,Coal_Supercritical,Coal Supercritical,Excluded,Coal supercritical,Coal supercritical,Coal,Bituminous coal,1,Bituminous coal,Bituminous coal,Bituminous coal,Non-VRE,2,4,Coal,Coal,Thermal,Coal,Thermal,Coal,Non-VRE,Non-VRE,PLTU,Coal_IGCC,Dispatchable,Yes,No,Generator,Coal,N,Coal
Coal Supercritical 2,Coal_Supercritical,Coal Supercritical,Excluded,Coal supercritical,Coal supercritical,Coal,Bituminous coal,1,Bituminous coal,Bituminous coal,Bituminous coal,Non-VRE,2,4,Coal,Coal,Thermal,Coal,Thermal,Coal,Non-VRE,Non-VRE,PLTUs,Coal_Supercritical,Dispatchable,Yes,No,Generator,Coal,N,Coal
Coal Supercritical 3,Coal_Supercritical,Coal Supercritical,Excluded,Coal supercritical,Coal supercritical,Coal,Bituminous coal,1,Bituminous coal,Bituminous coal,Bituminous coal,Non-VRE,2,4,Coal,Coal,Thermal,Coal,Thermal,Coal,Non-VRE,Non-VRE,PLTUs,Coal_Supercritical,Dispatchable,Yes,No,Generator,Coal,N,Coal
Coal Supercritical 4,Coal_Supercritical,Coal Supercritical,Excluded,Coal supercritical,Coal supercritical,Coal,Bituminous coal,1,Bituminous coal,Bituminous coal,Bituminous coal,Non-VRE,2,4,Coal,Coal,Thermal,Coal,Thermal,Coal,Non-VRE,Non-VRE,PLTUs,Coal_Supercritical,Dispatchable,Yes,No,Generator,Coal,N,Coal
Coal Supercritical 5,Coal_Supercritical,Coal Supercritical,Excluded,Coal supercritical,Coal supercritical,Coal,Bituminous coal,1,Bituminous coal,Bituminous coal,Bituminous coal,Non-VRE,2,4,Coal,Coal,Thermal,Coal,Thermal,Coal,Non-VRE,Non-VRE,PLTUs,Coal_Supercritical,Dispatchable,Yes,No,Generator,Coal,N,Coal
Coal Ultrasupercritical 1,Coal_Ultrasupercritical,Coal Ultra supercritical,Excluded,Coal ultrasupercritical,Coal ultrasupercritical,Coal,Bituminous coal,1,Bituminous coal,Bituminous coal,Bituminous coal,Non-VRE,2,4,Coal,Coal,Thermal,Coal,Thermal,Coal,Non-VRE,Non-VRE,PLTU_ult,Coal_Supercritical,Dispatchable,Yes,No,Generator,Coal,N,Coal
Coal Ultrasupercritical 2,Coal_Ultrasupercritical,Coal Ultra supercritical,Excluded,Coal ultrasupercritical,Coal ultrasupercritical,Coal,Bituminous coal,1,Bituminous coal,Bituminous coal,Bituminous coal,Non-VRE,2,4,Coal,Coal,Thermal,Coal,Thermal,Coal,Non-VRE,Non-VRE,PLTU_ult,Coal_Supercritical,Dispatchable,Yes,No,Generator,Coal,N,Coal
Coal Ultrasupercritical 3,Coal_Ultrasupercritical,Coal Ultra supercritical,Excluded,Coal ultrasupercritical,Coal ultrasupercritical,Coal,Bituminous coal,1,Bituminous coal,Bituminous coal,Bituminous coal,Non-VRE,2,4,Coal,Coal,Thermal,Coal,Thermal,Coal,Non-VRE,Non-VRE,PLTU_ult,Coal_Supercritical,Dispatchable,Yes,No,Generator,Coal,N,Coal
Coal Ultrasupercritical 4,Coal_Ultrasupercritical,Coal Ultra supercritical,Excluded,Coal ultrasupercritical,Coal ultrasupercritical,Coal,Bituminous coal,1,Bituminous coal,Bituminous coal,Bituminous coal,Non-VRE,2,4,Coal,Coal,Thermal,Coal,Thermal,Coal,Non-VRE,Non-VRE,PLTU_ult,Coal_Supercritical,Dispatchable,Yes,No,Generator,Coal,N,Coal
Coal Ultrasupercritical 5,Coal_Ultrasupercritical,Coal Ultra supercritical,Excluded,Coal ultrasupercritical,Coal ultrasupercritical,Coal,Bituminous coal,1,Bituminous coal,Bituminous coal,Bituminous coal,Non-VRE,2,4,Coal,Coal,Thermal,Coal,Thermal,Coal,Non-VRE,Non-VRE,PLTU_ult,Coal_Supercritical,Dispatchable,Yes,No,Generator,Coal,N,Coal
Fuel Cell 1,Fuel_cell,Fuel cell,Excluded,Fuel cell,Fuel cell,,Fuel Cell,1,Fuel Cell,Fuel Cell,Fuel Cell,Non-VRE,2,4,Gas,Gas,Thermal,Gas,Thermal,Gas,Non-VRE,Non-VRE,PLTGU,Gas_CCGT,Dispatchable,Yes,No,Generator,Gas,N,Gas
Fuel Cell 2,Fuel_cell,Fuel cell,Excluded,Fuel cell,Fuel cell,,Fuel Cell,1,Fuel Cell,Fuel Cell,Fuel Cell,Non-VRE,2,4,Gas,Gas,Thermal,Gas,Thermal,Gas,Non-VRE,Non-VRE,PLTGU,Gas_CCGT,Dispatchable,Yes,No,Generator,Gas,N,Gas
Gas CCGT 1,Gas_CCGT,CCGT,Excluded,CCGT,CCGT,CCGT,Gas,1,Gas-CCGT,Gas-CCGT,Gas,Non-VRE,4,6,Gas,Gas,Thermal,CCGT,Thermal,Gas,Non-VRE,Non-VRE,PLTGU,Gas_CCGT,Dispatchable,Yes,No,Generator,Gas,N,Gas
Gas CCGT 2,Gas_CCGT,CCGT,Excluded,CCGT,CCGT,CCGT,Gas,1,Gas-CCGT,Gas-CCGT,Gas,Non-VRE,4,6,Gas,Gas,Thermal,CCGT,Thermal,Gas,Non-VRE,Non-VRE,PLTGU,Gas_CCGT,Dispatchable,Yes,No,Generator,Gas,N,Gas
Gas CCGT 3,Gas_CCGT,CCGT,Excluded,CCGT,CCGT,CCGT,Gas,1,Gas-CCGT,Gas-CCGT,Gas,Non-VRE,4,6,Gas,Gas,Thermal,CCGT,Thermal,Gas,Non-VRE,Non-VRE,PLTGU,Gas_CCGT,Dispatchable,Yes,No,Generator,Gas,N,Gas
Gas CCGT 4,Gas_CCGT,CCGT,Excluded,CCGT,CCGT,CCGT,Gas,1,Gas-CCGT,Gas-CCGT,Gas,Non-VRE,4,6,Gas,Gas,Thermal,CCGT,Thermal,Gas,Non-VRE,Non-VRE,PLTGU,Gas_CCGT,Dispatchable,Yes,No,Generator,Gas,N,Gas
Gas CCGT 5,Gas_CCGT,CCGT,Excluded,CCGT,CCGT,CCGT,Gas,1,Gas-CCGT,Gas-CCGT,Gas,Non-VRE,4,6,Gas,Gas,Thermal,CCGT,Thermal,Gas,Non-VRE,Non-VRE,PLTGU,Gas_CCGT,Dispatchable,Yes,No,Generator,Gas,N,Gas
Gas CHP MaxMin,Gas_CCGT,OCGT,Excluded,OCGT,OCGT,OCGT,Gas,1,Gas-OCGT,Gas-OCGT,Gas,Non-VRE,4,6,Gas,Gas,CHP,OCGT,Thermal,Gas,Non-VRE,Non-VRE,PLTG/MG,Gas_GT,Dispatchable,No,Yes,Generator,Gas,N,Gas
Gas GT 1,Gas_GT,SCGT,Excluded,OCGT,OCGT,OCGT,Gas,1,Gas-OCGT,Gas-OCGT,Gas,Non-VRE,4,6,Gas,Gas,Thermal,OCGT,Thermal,Gas,Non-VRE,Non-VRE,PLTG/MG,Gas_GT,Dispatchable,Yes,Yes,Generator,Gas,N,Gas
Gas GT 2,Gas_GT,SCGT,Excluded,OCGT,OCGT,OCGT,Gas,1,Gas-OCGT,Gas-OCGT,Gas,Non-VRE,4,6,Gas,Gas,Thermal,OCGT,Thermal,Gas,Non-VRE,Non-VRE,PLTG/MG,Gas_GT,Dispatchable,Yes,Yes,Generator,Gas,N,Gas
Gas GT 3,Gas_GT,SCGT,Excluded,OCGT,OCGT,OCGT,Gas,1,Gas-OCGT,Gas-OCGT,Gas,Non-VRE,4,6,Gas,Gas,Thermal,OCGT,Thermal,Gas,Non-VRE,Non-VRE,PLTG/MG,Gas_GT,Dispatchable,Yes,Yes,Generator,Gas,N,Gas
Gas GT 4,Gas_GT,SCGT,Excluded,OCGT,OCGT,OCGT,Gas,1,Gas-OCGT,Gas-OCGT,Gas,Non-VRE,4,6,Gas,Gas,Thermal,OCGT,Thermal,Gas,Non-VRE,Non-VRE,PLTG/MG,Gas_GT,Dispatchable,Yes,Yes,Generator,Gas,N,Gas
Gas GT 5,Gas_GT,SCGT,Excluded,OCGT,OCGT,OCGT,Gas,1,Gas-OCGT,Gas-OCGT,Gas,Non-VRE,4,6,Gas,Gas,Thermal,OCGT,Thermal,Gas,Non-VRE,Non-VRE,PLTG/MG,Gas_GT,Dispatchable,Yes,Yes,Generator,Gas,N,Gas
Gas Steam 1,Gas_Steam,CCGT,Excluded,Steam turbine (Gas/Oil),Steam turbine (Gas/Oil),OCGT,Gas,1,Gas-steam,Gas-steam,Gas,Non-VRE,4,6,Gas,Gas,Thermal,Thermal_gas,Thermal,Gas,Non-VRE,Non-VRE,PLTGU,Gas_steam,Dispatchable,Yes,No,Generator,Gas,N,Gas
Gas Steam 2,Gas_Steam,CCGT,Excluded,Steam turbine (Gas/Oil),Steam turbine (Gas/Oil),OCGT,Gas,1,Gas-steam,Gas-steam,Gas,Non-VRE,4,6,Gas,Gas,Thermal,Thermal_gas,Thermal,Gas,Non-VRE,Non-VRE,PLTGU,Gas_steam,Dispatchable,Yes,No,Generator,Gas,N,Gas
