PLEXOS technology,Mapping to new WEO technology,Mapping to DEA data,Mapping to WEO Capex,Mapping to APPFC techs,OpClassMSL,Mapping to NREL cost data,Fuel,PerformanceVar,PropertyClass,FUELsub,FUELsimp,VRE,InertiaLOW,InertiaHI,Category1,Category2,ValidationTech,FUELgas,Fuel4,Fuel5,VRE2,VRE3,PLN_Tech,CategoryWEO,FlexCategory,Reserves,QuickStart,Type,RegSplitCat,New,RegSplitCat
Oil Steam 3,Oil_Steam,CCGT,Excluded,Steam turbine (Gas/Oil),Steam turbine (Gas/Oil),OCGT,Oil,1,Oil-CCGT,Oil,Oil,Non-VRE,4,6,Oil,Oil,Thermal,Oil,Thermal,Oil,Non-VRE,Non-VRE,PLTDG,Oil_CCGT,Dispatchable,Yes,No,Generator,Gas,N,Gas
Oil Steam 4,Oil_Steam,CCGT,Excluded,Steam turbine (Gas/Oil),Steam turbine (Gas/Oil),OCGT,Oil,1,Oil-CCGT,Oil,Oil,Non-VRE,4,6,Oil,Oil,Thermal,Oil,Thermal,Oil,Non-VRE,Non-VRE,PLTDG,Oil_CCGT,Dispatchable,Yes,No,Generator,Gas,N,Gas
Oil Steam 5,Oil_Steam,CCGT,Excluded,Steam turbine (Gas/Oil),Steam turbine (Gas/Oil),OCGT,Oil,1,Oil-CCGT,Oil,Oil,Non-VRE,4,6,Oil,Oil,Thermal,Oil,Thermal,Oil,Non-VRE,Non-VRE,PLTDG,Oil_CCGT,Dispatchable,Yes,No,Generator,Gas,N,Gas
Refurbishment Coal Subcritical Lignite,Coal_Subcritical_Lignite,Coal Subcritical,Excluded,Coal subcritical,Coal subcritical,Lignite,Lignite,1,Bituminous coal,Bituminous coal,Bituminous coal,Non-VRE,2,4,Coal,Coal,Thermal,Coal,Thermal,Coal,Non-VRE,Non-VRE,PLTU,Coal_Subcritical,Dispatchable,Yes,No,Generator,Coal,Y,Coal
Refurbishment Coal Subcritical Steam,Coal_Subcritical_Hard,Coal Subcritical,Excluded,Coal subcritical,Coal subcritical,Coal,Bituminous coal,1,Bituminous coal,Bituminous coal,Bituminous coal,Non-VRE,2,4,Coal,Coal,Thermal,Coal,Thermal,Coal,Non-VRE,Non-VRE,PLTU,Coal_Subcritical,Dispatchable,Yes,No,Generator,Coal,Y,Coal
Refurbishment Coal Supercritical Lignite,Coal_Supercritical,Coal Supercritical,Excluded,Coal supercritical,Coal supercritical,Lignite,Lignite,1,Bituminous coal,Bituminous coal,Bituminous coal,Non-VRE,2,4,Coal,Coal,Thermal,Coal,Thermal,Coal,Non-VRE,Non-VRE,PLTUs,Coal_Supercritical,Dispatchable,Yes,No,Generator,Coal,Y,Coal
Refurbishment Coal Supercritical Steam,Coal_Supercritical,Coal Supercritical,Excluded,Coal supercritical,Coal supercritical,Coal,Bituminous coal,1,Bituminous coal,Bituminous coal,Bituminous coal,Non-VRE,2,4,Coal,Coal,Thermal,Coal,Thermal,Coal,Non-VRE,Non-VRE,PLTU_ult,Coal_Ultrasupercritical,Dispatchable,Yes,No,Generator,Coal,Y,Coal
Refurbishment Gas CCGT,Gas_CCGT,CCGT,Excluded,CCGT,CCGT,CCGT,Gas,1,Gas-CCGT,Gas-CCGT,Gas,Non-VRE,4,6,Gas,Gas,Thermal,CCGT,Thermal,Gas,Non-VRE,Non-VRE,PLTGU,Gas_CCGT,Dispatchable,Yes,No,Generator,Gas,Y,Gas
Refurbishment Gas GT,Gas_GT,SCGT,Excluded,OCGT,OCGT,OCGT,Gas,1,Gas-OCGT,Gas-OCGT,Gas,Non-VRE,4,6,Gas,Gas,Thermal,OCGT,Thermal,Gas,Non-VRE,Non-VRE,PLTG/MG,Gas_GT,Dispatchable,Yes,Yes,Generator,Gas,Y,Gas
Refurbishment Gas Steam,Gas_Steam,Steam turbine (Gas/Oil),Excluded,Steam turbine (Gas/Oil),Steam turbine (Gas/Oil),OCGT,Gas,1,Gas-steam,Gas-steam,Gas,Non-VRE,4,6,Gas,Gas,Thermal,Thermal_gas,Thermal,Gas,Non-VRE,Non-VRE,PLTGU,Gas_steam,Dispatchable,Yes,No,Generator,Gas,Y,Gas
Refurbishment Oil GT,Oil_GT,Diesel power plant,Excluded,Steam turbine (Gas/Oil),Steam turbine (Gas/Oil),OCGT,Oil,1,Oil-GT,Oil,Oil,Non-VRE,2,4,Oil,Oil,Thermal,Oil,Thermal,Oil,Non-VRE,Non-VRE,PLTD,Oil,Dispatchable,Yes,Yes,Generator,Gas,Y,Gas
Refurbishment Oil Steam,Oil_Steam,Steam turbine (Gas/Oil),Excluded,Steam turbine (Gas/Oil),Steam turbine (Gas/Oil),OCGT,Oil,1,Oil-Steam,Oil,Oil,Non-VRE,4,6,Oil,Oil,Thermal,Oil,Thermal,Oil,Non-VRE,Non-VRE,PLTDG,Oil,Dispatchable,Yes,No,Generator,Gas,Y,Gas
Solar CSP,Solar_CSP,Solar CSP,Excluded,Solar CSP,Solar CSP,Solar CSP,Solar,1,Solar,Solar,Solar,Non-VRE,0,0,Solar,Solar,Solar,Solar,RES,Other,Non-VRE,Non-VRE,CSP,ConcentratedSolarPower,Dispatchable,Yes,No,Generator,Solar,Y,Solar
Solar PV Buildings,Solar_PV_Buildings,Rooftop PV,Excluded,Solar PV Buildings,Solar PV Buildings,Solar PV Buildings,Solar,1,Solar,Solar,Solar,VRE,0,0,Solar,Solar,Solar,Solar,RES,SolarPV,Solar,Solar,PLTS,SolarPV,VRE,Yes,No,Generator,Solar,Y,Solar
Solar PV Utility,Solar_PV_Utility,Ground-mounted PV,Excluded,Solar PV Utility,Solar PV Utility,Solar PV Utility,Solar,1,Solar,Solar,Solar,VRE,0,0,Solar,Solar,Solar,Solar,RES,SolarPV,Solar,Solar,PLTS,SolarPV,VRE,Yes,No,Generator,Solar,Y,Solar
Battery,Battery_utility_4h,Batteries,Excluded,Battery,Battery,Battery,#N/A,1,Battery,Battery,Battery,Battery,0,0,Battery,Storage,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Yes,No,Battery,Battery,Y,Battery
Co-located battery,Battery_distributed,Batteries,Excluded,Battery,Battery,Battery,#N/A,1,Battery,Battery,Battery,Battery,0,0,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Yes,No,Battery,Battery,N,Battery
Tide And Wave,Marine,Tidal Stream,Excluded,Ocean energy,Ocean energy,,Marine,1,Ocean,Ocean,Ocean,Non-VRE,0,0,Marine,Other,Marine,Ocean,RES,Other,Ocean,Ocean,Marine,Marine,Constrained,Yes,No,Generator,RES,N,RES
Waste to Energy,Waste,Biomass power plant (small),Excluded,Solid biomass,Solid biomass,Biomass,#N/A,1,Biomass,Biomass,Biomass,Non-VRE,2,4,Bioenergy,Bioenergy,Bioenergy,Biomass,RES,Other,Non-VRE,Non-VRE,PLTBM,Bioenergy,Constrained,Yes,No,Generator,RES,N,RES
Wind Offshore,Wind_Offshore,Wind Offshore,Excluded,Wind offshore,Wind offshore,Wind Offshore,Wind,1,Wind,Wind,Wind,VRE,0,0,Wind,Wind,Wind,Wind,RES,Wind,Wind,Wind,PLTB,Wind,VRE,Yes,No,Generator,Wind,Y,Wind
Wind Onshore,Wind_Onshore,Wind Onshore,Excluded,Wind onshore,Wind onshore,Wind Onshore,Wind,1,Wind,Wind,Wind,VRE,0,0,Wind,Wind,Wind,Wind,RES,Wind,Wind,Wind,PLTB,Wind,VRE,Yes,No,Generator,Wind,Y,Wind
Shed1h,DSM shed,Shed,Excluded,Shed,Shed,,#N/A,1,DSM,DSM,DSM,DSM,0,0,DSM,DSM,DSM,DSM,DSM,Other,DSM,DSM,DSM,DSM,DSM,Yes,No,DSM_Generator,Exclude,N,Exclude
Shed4h,DSM shed,Shed,Excluded,Shed,Shed,,#N/A,1,DSM,DSM,DSM,DSM,0,0,DSM,DSM,DSM,DSM,DSM,Other,DSM,DSM,DSM,DSM,DSM,Yes,No,DSM_Generator,Exclude,N,Exclude
Shed10h,DSM shed,Shed,Excluded,Shed,Shed,,#N/A,1,DSM,DSM,DSM,DSM,0,0,DSM,DSM,DSM,DSM,DSM,Other,DSM,DSM,DSM,DSM,DSM,Yes,No,DSM_Generator,Exclude,N,Exclude
Hydro Pumpback PSH,Hydro_Pumpback_PSH,Hydro pumped storage,Excluded,Hydro PSH,Hydro PSH,PSH,Hydro,1,Hydro,Hydro,Hydro,Non-VRE,2,4,Hydro,Hydro,Hydro,Hydro,Hydro,Hydro,Non-VRE,Non-VRE,PLTAr,Hydro,Pump,Yes,Yes,Generator,RES,N,RES
Hydro Pumpback Conv,Hydro_Pumpback_PSH,Large hydro power plant,Excluded,Hydro Reservoir,Hydro Reservoir,Hydro,Hydro,1,Hydro,Hydro,Hydro,Non-VRE,2,4,Hydro,Hydro,Hydro,Hydro,Hydro,Hydro,Non-VRE,Non-VRE,PLTAr,Hydro,Dispatchable,Yes,Yes,Generator,RES,N,RES
Installed capacity stand alone battery,Battery_utility_4h,Batteries,Excluded,Battery,Battery,Battery,#N/A,1,Battery,Battery,Battery,Battery,0,0,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Yes,No,Battery,Battery,N,Battery
Emissions,#N/A,#N/A,Excluded,#N/A,#N/A,#N/A,Emissions,#N/A,Emissions,Emissions,Emissions,#N/A,#N/A,#N/A,Emissions,Emissions,Emissions,Emissions,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,N,RES
Fuel,#N/A,#N/A,Excluded,#N/A,#N/A,#N/A,Fuel,#N/A,Fuel,Fuel,Fuel,#N/A,#N/A,#N/A,Fuel,Fuel,Fuel,Fuel,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,N,RES
Line,#N/A,#N/A,Excluded,#N/A,#N/A,#N/A,Line,#N/A,Line,Line,Line,#N/A,#N/A,#N/A,Line,Line,Line,Line,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,N,RES
Purchaser,#N/A,#N/A,Excluded,#N/A,#N/A,#N/A,Purchaser,#N/A,Purchaser,Purchaser,Purchaser,#N/A,#N/A,#N/A,Purchaser,Purchaser,Purchaser,Purchaser,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,N,#N/A
Node,#N/A,#N/A,Excluded,#N/A,#N/A,#N/A,Node,#N/A,Node,Node,Node,#N/A,#N/A,#N/A,Node,Node,Node,Node,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,N,#N/A
Region,#N/A,#N/A,Excluded,#N/A,#N/A,#N/A,Region,#N/A,Region,Region,Region,#N/A,#N/A,#N/A,Region,Region,Region,Region,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,N,#N/A
Reserve,#N/A,#N/A,Excluded,#N/A,#N/A,#N/A,Reserve,#N/A,Reserve,Reserve,Reserve,#N/A,#N/A,#N/A,Reserve,Reserve,Reserve,Reserve,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,N,#N/A
Coal IGCC New with NH3 Retrofit,Coal_IGCC,IGCC,IGCC,IGCC,IGCC,IGCC,Bituminous coal,1,Bituminous coal,IGCC,Coal,Non-VRE,2,4,Coal,Clean fuels,Thermal,Coal,Bituminous coal,Bituminous coal,Bituminous coal,Non-VRE,PLTU,Coal_IGCC,Dispatchable,Yes,No,Generator,Coal,Y,#N/A
Coal IGCC with NH3 Retrofit,Coal_IGCC,IGCC,Excluded,IGCC,IGCC,IGCC,Bituminous coal,1,Bituminous coal,IGCC,Coal,Non-VRE,2,4,Coal,Clean fuels,Thermal,Coal,Bituminous coal,Bituminous coal,Bituminous coal,Non-VRE,PLTU,Coal_IGCC,Dispatchable,Yes,No,Generator,Coal,N,#N/A
Coal Lignite New with NH3 Retrofit,Coal_Subcritical_Lignite,Coal Supercritical,Steam Coal - ULTRASUPERCRITICAL,Coal lignite,Coal lignite NEW,Lignite,Lignite,1,Lignite,Coal Supercritical,Coal,Non-VRE,2,4,Coal,Clean fuels,Thermal,Coal,Lignite,Lignite,Lignite,Non-VRE,PLTU,Coal_Subcritical,Dispatchable,Yes,No,Generator,Coal,Y,#N/A
Coal Subcritical Lignite with NH3 Retrofit,Coal_Subcritical_Lignite,Coal Subcritical,Excluded,Coal lignite,Coal lignite,Lignite,Lignite,1,Lignite,Coal Subcritical,Coal,Non-VRE,2,4,Coal,Clean fuels,Thermal,Coal,Lignite,Lignite,Lignite,Non-VRE,PLTU,Coal_Subcritical,Dispatchable,Yes,No,Generator,Coal,N,#N/A
Coal Subcritical New with NH3 Retrofit,Coal_Subcritical_Hard,Coal Subcritical,Steam Coal - SUBCRITICAL,Coal subcritical,Coal subcritical NEW,Coal,Bituminous coal,1,Bituminous coal,Coal Subcritical,Coal,Non-VRE,2,4,Coal,Clean fuels,Thermal,Coal,Bituminous coal,Bituminous coal,Bituminous coal,Non-VRE,PLTU,Coal_Subcritical,Dispatchable,Yes,No,Generator,Coal,Y,#N/A
Coal Subcritical Steam with NH3 Retrofit,Coal_Subcritical_Hard,Coal Subcritical,Excluded,Coal subcritical,Coal subcritical,Coal,Bituminous coal,1,Bituminous coal,Coal Subcritical,Coal,Non-VRE,2,4,Coal,Clean fuels,Thermal,Coal,Bituminous coal,Bituminous coal,Bituminous coal,Non-VRE,PLTU,Coal_Subcritical,Dispatchable,Yes,No,Generator,Coal,N,Coal
Coal Supercritical Lignite with NH3 Retrofit,Coal_Supercritical,Coal Supercritical,Excluded,Coal supercritical,Coal supercritical,Coal,Bituminous coal,1,Bituminous coal,Coal Supercritical,Coal,Non-VRE,2,4,Coal,Clean fuels,Thermal,Coal,Bituminous coal,Bituminous coal,Bituminous coal,Non-VRE,PLTUs,Coal_Supercritical,Dispatchable,Yes,No,Generator,Coal,N,Coal
Coal Supercritical New with NH3 Retrofit,Coal_Supercritical,Coal Supercritical,Steam Coal - SUPERCRITICAL,Coal supercritical,Coal supercritical NEW,Coal,Bituminous coal,1,Bituminous coal,Coal Supercritical,Coal,Non-VRE,2,4,Coal,Clean fuels,Thermal,Coal,Bituminous coal,Bituminous coal,Bituminous coal,Non-VRE,PLTUs,Coal_Supercritical,Dispatchable,Yes,No,Generator,Coal,Y,Coal
Coal Supercritical Steam with NH3 Retrofit,Coal_Supercritical,Coal Supercritical,Excluded,Coal supercritical,Coal supercritical,Coal,Bituminous coal,1,Bituminous coal,Coal Supercritical,Coal,Non-VRE,2,4,Coal,Clean fuels,Thermal,Coal,Bituminous coal,Bituminous coal,Bituminous coal,Non-VRE,PLTUs,Coal_Supercritical,Dispatchable,Yes,No,Generator,Coal,N,Coal
Coal Ultrasupercritical Lignite with NH3 Retrofit,Coal_Ultrasupercritical,Coal Ultra supercritical,Excluded,Coal ultrasupercritical,Coal ultrasupercritical,Coal,Bituminous coal,1,Bituminous coal,Coal Ultra supercritical,Coal,Non-VRE,2,4,Coal,Clean fuels,Thermal,Coal,Bituminous coal,Bituminous coal,Bituminous coal,Non-VRE,PLTU_ult,Coal_Supercritical,Dispatchable,Yes,No,Generator,Coal,N,Coal
Coal Ultrasupercritical New with NH3 Retrofit,Coal_Ultrasupercritical,Coal Ultra supercritical,Steam Coal - ULTRASUPERCRITICAL,Coal ultrasupercritical,Coal ultrasupercritical NEW,Coal,Bituminous coal,1,Bituminous coal,Coal Ultra supercritical,Coal,Non-VRE,2,4,Coal,Clean fuels,Thermal,Coal,Bituminous coal,Bituminous coal,Bituminous coal,Non-VRE,PLTU_ult,Coal_Ultrasupercritical,Dispatchable,Yes,No,Generator,Coal,Y,Coal
Coal Ultrasupercritical Steam with NH3 Retrofit,Coal_Ultrasupercritical,Coal Ultra supercritical,Steam Coal - ULTRASUPERCRITICAL,Coal ultrasupercritical,Coal ultrasupercritical NEW,Coal,Bituminous coal,1,Bituminous coal,Coal Ultra supercritical,Coal,Non-VRE,2,4,Coal,Clean fuels,Thermal,Coal,Bituminous coal,Bituminous coal,Bituminous coal,Non-VRE,PLTU_ult,Coal_Ultrasupercritical,Dispatchable,Yes,No,Generator,Coal,Y,Coal
Fuel Cell with H2 Retrofit,Fuel_cell,Fuel cell,Excluded,Fuel cell,Fuel cell,,Fuel Cell,1,Fuel Cell,Fuel cell,Fuel Cell,Non-VRE,2,4,Fuel Cell,Clean fuels,Fuel Cell,Fuel Cell,Fuel Cell,Fuel Cell,Fuel Cell,Non-VRE,PLTGU,Gas_CCGT,Dispatchable,Yes,No,Generator,Gas,N,Coal
Gas CCGT with H2 Retrofit,Gas_CCGT,CCGT,Excluded,CCGT,CCGT,CCGT,Gas,1,Gas-CCGT,CCGT,Gas,Non-VRE,4,6,Gas,Clean fuels,Thermal,Gas,Gas-CCGT,Gas-CCGT,Gas,Non-VRE,PLTGU,Gas_CCGT,Dispatchable,Yes,No,Generator,Gas,N,Coal
Gas GT with H2 Retrofit,Gas_GT,SCGT,Excluded,OCGT,OCGT,OCGT,Gas,1,Gas-OCGT,SCGT,Gas,Non-VRE,4,6,Gas,Clean fuels,Thermal,Gas,Gas-OCGT,Gas-OCGT,Gas,Non-VRE,PLTG/MG,Gas_GT,Dispatchable,Yes,Yes,Generator,Gas,N,Coal
Gas Steam with H2 Retrofit,Gas_Steam,CCGT,Excluded,Steam turbine (Gas/Oil),Steam turbine (Gas/Oil),OCGT,Gas,1,Gas-steam,CCGT,Gas,Non-VRE,4,6,Gas,Clean fuels,Thermal,Gas,Gas-steam,Gas-steam,Gas,Non-VRE,PLTGU,Gas_steam,Dispatchable,Yes,No,Generator,Gas,N,Coal
Battery1HR,Battery_utility_1h,Batteries,Excluded,Battery,Battery,Battery,#N/A,1,Battery,Battery,Battery,Battery,0,0,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Yes,No,Battery,Battery,N,Coal
Battery2HR,Battery_utility_2h,Batteries,Excluded,Battery,Battery,Battery,#N/A,1,Battery,Battery,Battery,Battery,0,0,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Yes,No,Battery,Battery,N,Gas
Battery4HR,Battery_utility_4h,Batteries,Excluded,Battery,Battery,Battery,#N/A,1,Battery,Battery,Battery,Battery,0,0,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Yes,No,Battery,Battery,N,Gas
Battery8HR,Battery_utility_8h,Batteries,Excluded,Battery,Battery,Battery,#N/A,1,Battery,Battery,Battery,Battery,0,0,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Yes,No,Battery,Battery,N,Gas
Battery_BTM,Battery_distributed,Batteries,Excluded,Battery,Battery,Battery,#N/A,1,Battery,Battery,Battery,Battery,0,0,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Yes,No,Battery,,,Battery
